DCPro Target
ORIGINATOR "LaserSoft Imaging AG"
DESCRIPTOR "SEMI GLOSSY DCPro Target, L* a* b* (light D50, viewing angle 2)"
MANUFACTURER "LaserSoft Imaging AG - http://www.silverfast.com"
CREATED "January 10, 2012"
PROD_DATE " 2012:01"
SERIAL "D120104 Batch Average Data"
MATERIAL "SEMI GLOSSY"
NUMBER_OF_FIELDS 7
BEGIN_DATA_FORMAT
SAMPLE_ID   XYZ_X   XYZ_Y   XYZ_Z          LAB_L   LAB_A   LAB_B
H5           8.05   13.78    6.58          43.91  -39.70   17.22
H6          64.16   64.51   49.23          84.23    4.53    4.43
H7          59.11   62.26   51.17          83.05   -2.17    0.21
H8          61.67   66.74   50.26          85.37   -6.12    5.24
H9          62.58   62.99   40.84          83.44    4.33   13.23
H10         11.69   20.69   35.31          52.61  -48.26  -32.42
H11          5.85    5.17    6.30          27.22   10.16  -10.31
H12         10.57    6.59    7.58          30.86   37.29   -9.43
H13         13.28   17.15    5.20          48.45  -19.57   31.52
H14          0.52    0.55    0.48           4.95   -0.32   -0.42
I1          76.44   78.76   59.88          91.12    1.05    4.96
I2          39.98   42.48   11.88          71.20   -3.01   45.54
I3          31.73   35.33   39.32          66.00   -8.23  -14.85
I4          38.53   37.11   21.13          67.36    9.02   16.70
I5           5.01    5.28    2.92          27.53   -1.00    9.42
I6          26.25   30.97   37.57          62.48  -14.24  -18.55
I7          29.63   22.14    1.24          54.17   34.98   71.71
I8           3.73    4.70    3.06          25.87  -11.27    5.52
I9          49.37   51.43   40.59          76.94   -0.56    2.36
I10         33.06   28.96    6.04          60.75   19.18   48.67
I11         13.77   15.25    7.11          45.97   -5.75   18.49
I12         10.89   16.14   18.51          47.16  -30.57  -12.62
I13         32.70   30.72    8.18          62.27   11.32   42.37
I14         76.47   78.80   59.65          91.15    1.02    5.23
J1          53.38   55.51   42.02          79.33   -0.32    4.63
J2           0.57    0.59    0.50           5.30   -0.02   -0.21
J3          76.58   78.90   60.09          91.19    1.04    4.86
J4          70.57   73.10   55.53          88.49    0.22    4.89
J5          60.47   62.81   48.94          83.34   -0.20    3.24
J6          50.06   52.12   40.86          77.35   -0.49    2.71
J7          40.49   42.05   32.83          70.91   -0.16    2.74
J8          31.04   32.21   25.12          63.52   -0.05    2.55
J9          22.07   22.85   17.78          54.92    0.21    2.37
J10         13.70   14.27   11.02          44.61   -0.31    2.26
J11          7.32    7.53    5.67          33.00    0.54    2.54
J12          2.87    2.85    2.04          19.45    2.19    2.88
J13          0.52    0.55    0.48           4.96   -0.24   -0.44
J14         49.04   51.08   40.53          76.73   -0.56    2.06
END_DATA
