IT8.7/2
ORIGINATOR "Wolf Faust"
DESCRIPTOR "FUJICOLOR Crystal Archive Paper, L* a* b* (light D50, viewing angle 2)"
MANUFACTURER "Wolf Faust - http://www.coloraid.de"
CREATED "April 05, 2023"
PROD_DATE "2023:01"
SAMPLE_BACKING "white"
SERIAL "5x7 R230122 Batch Average Data"
MATERIAL "FUJICOLOR Crystal Archive DP II Paper"
NUMBER_OF_FIELDS 9
BEGIN_DATA_FORMAT
SAMPLE_ID  XYZ_X   XYZ_Y   XYZ_Z          LAB_L   LAB_A   LAB_B          LAB_C   LAB_H
B5         13.46   11.66    6.22          40.66   15.12   13.21          20.08   41.14
B6         15.12   11.50    4.26          40.42   26.46   22.79          34.92   40.74
B7         17.52   11.45    2.36          40.32   40.42   35.91          54.07   41.62
B8         20.77   11.29    0.91          40.06   58.07   52.19          78.08   41.95
B9         42.43   41.84   31.84          70.76    6.33    3.99           7.48   32.22
B10        44.79   42.26   28.99          71.05   12.02    8.97          15.00   36.73
B11        47.09   42.28   25.66          71.06   18.49   14.61          23.57   38.31
B12        49.64   42.39   22.28          71.14   25.14   20.97          32.74   39.83
B13        70.93   76.56   69.08          90.12   -6.06   -5.53           8.20  222.38
B14        74.21   73.15   67.36          88.52    7.68   -6.70          10.19  318.90
B15        76.93   80.46   57.20          91.89   -1.31    9.02           9.11   98.26
B16        63.73   66.19   54.70          85.09   -0.20   -0.09           0.22  204.23
B17        71.46   71.07   55.36          87.52    6.27    3.41           7.14   28.54
B18        68.49   74.71   56.53          89.26   -7.57    5.17           9.17  145.67
B19        66.22   68.06   66.53          86.04    1.32  -10.22          10.30  277.36
B20         2.86    1.98    0.62          15.36   19.51   14.85          24.52   37.28
B21         8.53    4.93    0.69          26.52   39.51   32.73          51.31   39.64
B22        30.27   25.79   12.66          57.83   21.58   20.23          29.58   43.15
C1          4.67    4.53    2.39          25.36    4.00    9.91          10.69   68.02
C2          4.94    4.49    1.34          25.24    7.94   20.44          21.93   68.77
C3          5.23    4.40    0.70          24.94   12.73   29.75          32.36   66.83
C4          5.77    4.84    0.72          26.26   13.47   31.63          34.38   66.93
C5         24.30   23.35   11.63          55.43    7.93   19.09          20.67   67.44
C6         26.63   23.38    5.78          55.47   17.56   40.77          44.39   66.70
C7         28.79   23.38    2.34          55.46   26.17   62.23          67.51   67.19
C8         29.21   22.73    1.26          54.79   30.66   72.43          78.65   67.06
C9         49.78   49.91   34.71          76.01    4.50    8.79           9.87   62.89
C10        51.29   50.00   29.08          76.07    8.27   17.48          19.34   64.68
C11        52.52   49.75   23.61          75.92   12.14   26.69          29.32   65.54
C12        54.16   49.60   17.52          75.82   16.77   39.00          42.45   66.73
C13        61.76   69.84   67.84          86.92  -12.61   -9.91          16.04  218.16
C14        68.09   63.12   64.04          83.50   16.34  -12.23          20.41  323.19
C15        74.98   78.79   47.56          91.14   -2.01   18.28          18.39   96.27
C16        49.17   51.16   43.41          76.78   -0.43   -1.48           1.54  253.80
C17        63.49   59.82   44.22          81.74   13.70    6.07          14.98   23.90
C18        57.31   66.23   46.47          85.11  -15.45    9.18          17.97  149.28
C19        53.36   54.20   62.25          78.58    2.84  -19.00          19.21  278.50
C20         1.69    1.38    0.60          11.81    9.90    9.11          13.45   42.62
C21        23.86   18.03    5.12          49.53   31.45   33.83          46.19   47.09
C22        36.50   33.24   18.67          64.35   15.34   16.68          22.66   47.40
D1          4.33    4.54    2.37          25.38   -0.62   10.06          10.08   93.53
D2          4.33    4.58    1.37          25.52   -1.29   20.54          20.58   93.59
D3          4.40    4.59    0.80          25.54   -0.40   28.95          28.95   90.79
D4          4.64    4.82    0.81          26.22   -0.09   30.02          30.02   90.17
D5         27.49   28.87   14.91          60.66   -1.36   19.10          19.15   94.07
D6         27.34   28.87    8.14          60.66   -1.95   39.76          39.81   92.81
D7         26.92   28.55    3.58          60.38   -2.43   61.39          61.44   92.27
D8         26.30   27.83    1.68          59.73   -2.18   75.93          75.96   91.64
D9         56.98   59.37   40.95          81.49   -0.64    9.75           9.77   93.76
D10        56.50   59.07   32.85          81.33   -1.12   20.68          20.71   93.10
D11        56.49   59.11   27.06          81.35   -1.23   29.93          29.96   92.35
D12        55.24   57.97    8.57          80.72   -1.62   72.74          72.76   91.28
D13        53.75   63.48   66.33          83.69  -18.22  -14.07          23.02  217.68
D14        62.23   54.12   60.38          78.53   24.62  -17.23          30.05  325.01
D15        72.58   76.31   37.70          90.01   -2.09   28.73          28.81   94.16
D16        37.30   38.87   32.79          68.66   -0.58   -1.07           1.22  241.54
D17        56.04   49.94   33.61          76.03   20.59   10.42          23.08   26.84
D18        47.49   58.09   36.61          80.79  -22.31   14.34          26.52  147.27
D19        42.71   42.62   57.70          71.30    4.86  -27.00          27.43  280.20
D20        14.29   10.91    2.87          39.43   25.67   30.31          39.72   49.74
D21        22.34   21.69   12.77          53.70    6.67   12.78          14.42   62.44
D22        40.16   38.39   21.60          68.31    9.99   17.43          20.09   60.18
E1          3.87    4.46    2.38          25.13   -6.03    9.54          11.29  122.30
E2          3.58    4.48    1.42          25.20  -10.71   19.36          22.12  118.95
E3          3.64    4.85    0.88          26.31  -14.60   28.96          32.43  116.75
E4          3.30    4.34    0.85          24.78  -13.45   26.82          30.00  116.63
E5         13.08   14.87    8.16          45.46   -7.99   13.47          15.66  120.68
E6         11.88   14.95    5.07          45.57  -16.56   27.23          31.87  121.31
E7         10.79   14.90    2.55          45.50  -24.12   43.25          49.52  119.15
E8          9.83   14.37    1.46          44.76  -28.30   52.60          59.73  118.28
E9         38.99   41.93   30.43          70.82   -4.51    6.28           7.73  125.68
E10        37.54   42.02   25.72          70.89   -9.41   14.20          17.03  123.53
E11        36.20   41.96   21.33          70.84  -13.63   22.33          26.16  121.40
E12        31.44   41.19   10.22          70.31  -27.91   49.14          56.51  119.60
E13        46.42   57.23   64.70          80.31  -23.27  -18.37          29.65  218.29
E14        56.77   46.27   56.57          73.72   32.33  -21.65          38.91  326.19
E15        70.72   74.11   30.20          88.98   -1.58   37.93          37.96   92.39
E16        27.99   29.22   24.98          60.98   -0.72   -1.56           1.72  245.22
E17        49.62   41.73   25.77          70.68   27.05   13.77          30.35   26.98
E18        39.22   50.72   28.89          76.51  -28.30   18.54          33.83  146.77
E19        33.91   33.11   52.89          64.25    7.03  -34.08          34.80  281.66
E20        24.90   17.22    1.15          48.54   40.21   63.15          74.86   57.51
E21        17.51   14.64    2.74          45.13   19.66   41.15          45.61   64.46
E22        30.43   26.37    8.61          58.39   19.78   34.10          39.42   59.88
F1          1.43    1.87    1.29          14.78   -9.70    3.03          10.16  162.65
F2          1.07    1.82    1.00          14.54  -20.04    6.65          21.11  161.64
F3          1.21    2.25    1.14          16.74  -24.79    8.46          26.19  161.16
F4          1.03    1.81    0.97          14.48  -21.19    7.06          22.34  161.57
F5          6.98    8.80    6.48          35.59  -13.94    3.29          14.32  166.72
F6          5.70    8.71    5.40          35.41  -26.89    8.07          28.07  163.29
F7          4.51    8.68    4.40          35.37  -41.25   13.27          43.33  162.17
F8          3.58    8.41    3.75          34.82  -52.32   16.26          54.79  162.74
F9         38.33   41.74   34.22          70.69   -6.04    0.33           6.05  176.87
F10        36.82   42.05   33.02          70.90  -11.84    2.46          12.09  168.26
F11        35.11   42.12   31.72          70.96  -17.76    4.50          18.32  165.78
F12        29.22   41.67   27.23          70.64  -37.61   11.19          39.24  163.43
F13        40.19   51.58   62.80          77.03  -27.49  -22.20          35.33  218.92
F14        50.98   38.52   52.11          68.40   40.51  -26.07          48.17  327.24
F15        68.59   71.41   23.21          87.68   -0.56   47.73          47.73   90.67
F16        20.27   21.02   18.06          52.97    0.00   -1.62           1.62  270.00
F17        43.20   33.92   18.72          64.90   33.87   17.51          38.13   27.34
F18        31.63   43.50   22.00          71.89  -34.00   22.82          40.95  146.13
F19        26.30   24.66   47.73          56.74   10.71  -41.22          42.59  284.56
F20        26.69   25.70   12.47          57.75    7.94   20.62          22.10   68.94
F21        34.77   31.69   11.55          63.09   14.99   32.51          35.80   65.25
F22        39.32   36.92   16.64          67.21   12.10   26.20          28.86   65.21
G1          2.36    3.03    2.76          20.16  -10.68   -2.05          10.87  190.87
G2          1.83    2.96    3.00          19.90  -21.38   -4.33          21.81  191.45
G3          1.94    3.51    3.83          21.96  -27.63   -6.44          28.37  193.12
G4          1.65    2.90    3.17          19.66  -24.74   -6.01          25.46  193.65
G5          9.35   11.46   10.70          40.35  -13.17   -4.08          13.79  197.21
G6          7.97   11.47   11.29          40.37  -25.14   -5.88          25.82  193.16
G7          6.65   11.57   11.90          40.52  -38.55   -7.43          39.26  190.91
G8          5.47   11.12   12.62          39.79  -48.38  -10.76          49.56  192.54
G9         38.40   41.90   36.25          70.81   -6.29   -2.37           6.72  200.65
G10        36.24   41.98   36.96          70.86  -13.56   -3.27          13.95  193.56
G11        34.58   42.20   37.98          71.01  -19.80   -4.40          20.28  192.53
G12        29.03   41.60   41.06          70.59  -38.12   -9.18          39.21  193.54
G13        34.20   45.82   60.53          73.43  -31.52  -26.18          40.97  219.71
G14        45.90   32.17   47.94          63.48   47.79  -29.84          56.34  328.02
G15        66.60   68.64   17.34          86.32    0.94   57.51          57.52   89.06
G16        14.09   14.66   12.54          45.16   -0.26   -1.28           1.31  258.52
G17        37.70   27.64   13.14          59.56   39.90   21.89          45.51   28.75
G18        25.14   36.93   16.27          67.23  -39.31   27.09          47.74  145.43
G19        20.22   18.09   42.97          49.61   14.28  -47.79          49.88  286.64
G20        36.66   35.29   15.25          65.97    8.88   27.42          28.82   72.06
G21        35.19   33.82    9.68          64.82    8.97   41.45          42.41   77.79
G22        47.28   43.64    2.61          71.99   15.03   88.47          89.74   80.36
H1          2.54    2.99    3.65          20.01   -6.47   -8.65          10.80  233.20
H2          2.23    2.96    4.77          19.88  -12.24  -15.45          19.71  231.61
H3          2.01    2.91    5.70          19.67  -16.04  -20.55          26.07  232.03
H4          2.19    3.22    6.31          20.89  -17.34  -21.28          27.45  230.83
H5         10.09   11.63   13.13          40.62   -8.39  -10.76          13.64  232.06
H6          9.02   11.43   16.79          40.30  -15.73  -20.56          25.89  232.58
H7          8.25   11.61   21.14          40.59  -23.59  -29.46          37.74  231.31
H8          7.19   11.20   24.30          39.91  -30.56  -36.65          47.72  230.18
H9         38.79   41.78   39.64          70.72   -4.70   -7.11           8.52  236.53
H10        37.50   41.67   42.79          70.64   -8.50  -11.30          14.14  233.05
H11        36.40   42.15   47.73          70.97  -13.50  -16.69          21.47  231.03
H12        31.98   41.68   58.64          70.65  -27.40  -29.08          39.96  226.70
H13        28.78   40.33   57.91          69.70  -35.23  -29.97          46.25  220.39
H14        41.13   26.58   43.71          58.59   54.88  -33.23          64.16  328.80
H15        64.84   65.99   12.72          84.99    2.74   66.88          66.94   87.65
H16         9.18    9.64    8.31          37.18   -0.95   -1.35           1.65  234.87
H17        32.84   22.36    8.63          54.41   45.71   27.18          53.18   30.74
H18        19.43   30.81   11.58          62.34  -44.57   31.15          54.38  145.05
H19        15.06   12.67   38.19          42.27   18.12  -54.23          57.18  288.48
H20        41.78   42.27   15.96          71.06    3.10   34.43          34.57   84.86
H21        31.67   32.98   21.82          64.14   -0.45    9.81           9.82   92.63
H22        35.69   39.10   12.12          68.83   -6.61   40.74          41.27   99.22
I1          4.44    4.53    6.28          25.35    1.03  -13.44          13.48  274.38
I2          4.45    4.50    9.48          25.25    1.59  -26.10          26.15  273.49
I3          4.52    4.47   12.94          25.16    2.85  -36.87          36.98  274.42
I4          4.49    4.37   18.71          24.86    3.80  -51.51          51.65  274.22
I5         14.61   15.07   16.57          45.73    0.50  -10.68          10.69  272.68
I6         14.50   14.83   20.85          45.40    1.24  -20.57          20.61  273.45
I7         14.70   14.92   25.66          45.52    1.97  -29.42          29.49  273.83
I8         14.73   14.74   40.57          45.28    3.11  -52.20          52.29  273.41
I9         40.35   41.90   38.92          70.80   -0.15   -6.03           6.03  268.58
I10        40.75   42.06   43.32          70.92    0.58  -11.48          11.49  272.89
I11        40.92   42.01   47.50          70.88    1.25  -16.58          16.63  274.31
I12        40.64   41.89   57.72          70.79    0.78  -27.89          27.90  271.60
I13        24.29   35.42   55.25          66.08  -37.99  -33.45          50.62  221.36
I14        36.12   21.26   39.11          53.23   62.02  -36.57          72.00  329.47
I15        62.95   63.11    9.05          83.50    4.89   75.81          75.97   86.31
I16         5.64    5.87    5.23          29.09   -0.31   -1.97           1.99  261.06
I17        28.31   17.74    5.48          49.18   51.39   31.38          60.21   31.41
I18        14.92   25.59    8.11          57.64  -49.00   34.67          60.03  144.72
I19        10.96    8.26   33.23          34.52   24.46  -60.59          65.34  291.98
I20        42.35   46.78   16.58          74.05   -8.06   38.11          38.95  101.94
I21        11.03   14.91    3.57          45.51  -22.40   35.83          42.26  122.01
I22        28.79   37.42   18.32          67.59  -26.12   23.01          34.81  138.62
J1          2.14    1.87    3.27          14.79    7.90  -15.10          17.04  297.62
J2          2.48    1.82    5.44          14.54   15.90  -28.15          32.33  299.46
J3          2.91    1.85    8.68          14.67   23.48  -41.54          47.72  299.48
J4          3.73    1.77   17.84          14.26   38.65  -67.87          78.10  299.66
J5         12.00   11.71   13.27          40.75    5.06  -10.91          12.03  294.88
J6         12.67   11.49   17.21          40.40   11.13  -21.37          24.09  297.51
J7         13.44   11.48   21.42          40.38   16.26  -30.37          34.45  298.16
J8         15.66   11.39   36.16          40.23   30.42  -54.95          62.81  298.97
J9         41.27   41.83   39.39          70.75    2.87   -6.74           7.33  293.07
J10        42.25   41.89   43.05          70.80    5.66  -11.36          12.69  296.48
J11        43.31   42.19   47.16          71.00    7.90  -15.97          17.82  296.32
J12        45.46   41.72   56.48          70.68   15.54  -26.81          30.99  300.10
J13        20.40   30.90   52.20          62.42  -40.11  -36.47          54.21  222.28
J14        31.58   16.92   34.63          48.16   68.12  -39.12          78.55  330.13
J15        60.80   59.79    6.02          81.72    7.53   84.91          85.24   84.93
J16         3.15    3.26    2.87          21.06    0.05   -1.39           1.39  272.06
J17        24.15   13.91    3.06          44.10   56.12   36.94          67.19   33.35
J18        11.10   20.74    5.28          52.66  -52.76   38.40          65.25  143.95
J19         7.97    5.16   28.59          27.19   31.61  -66.00          73.18  295.59
J20        30.90   40.10   24.07          69.54  -26.55   14.84          30.42  150.80
J21         4.24    8.12    1.39          34.23  -40.06   35.38          53.45  138.55
J22         1.23    2.09    0.83          15.94  -20.89   11.89          24.04  150.35
K1          5.36    4.45    5.64          25.10   13.70  -10.90          17.51  321.49
K2          6.68    4.44    8.01          25.08   28.26  -21.10          35.27  323.25
K3          8.02    4.37   10.68          24.86   42.07  -30.69          52.07  323.89
K4          8.92    4.31   12.52          24.68   50.76  -36.52          62.53  324.27
K5         16.36   14.95   16.03          45.56   11.46   -9.69          15.01  319.78
K6         18.45   14.93   19.59          45.54   22.87  -17.73          28.94  322.22
K7         20.74   14.83   23.52          45.40   34.94  -25.76          43.41  323.60
K8         27.01   14.64   33.77          45.13   63.65  -43.09          76.86  325.90
K9         42.68   42.00   39.19          70.87    6.62   -6.26           9.11  316.60
K10        44.98   42.12   42.61          70.96   12.97  -10.52          16.70  320.95
K11        47.58   42.11   46.12          70.95   20.35  -14.84          25.19  323.90
K12        53.03   41.55   53.98          70.56   36.57  -24.38          43.95  326.31
K13        16.65   26.16   48.44          58.18  -41.32  -39.55          57.20  223.75
K14        27.40   13.40   30.25          43.36   72.84  -40.78          83.48  330.76
K15        57.96   55.62    3.74          79.40   10.79   93.20          93.82   83.40
K16         1.48    1.55    1.31          12.90   -0.22   -0.46           0.51  244.44
K17        20.44   10.90    1.45          39.42   59.27   43.61          73.59   36.35
K18         7.77   15.97    3.09          46.93  -55.31   41.56          69.18  143.08
K19         5.66    2.98   23.88          19.96   39.28  -70.30          80.53  299.19
K20         2.33    3.13    1.89          20.57  -13.05    6.21          14.45  154.55
K21         1.25    1.76    1.52          14.16  -12.46   -0.79          12.49  183.63
K22         1.62    2.16    3.08          16.29  -11.06  -11.18          15.73  225.31
L1          3.67    2.99    2.99          20.01   12.97   -4.11          13.61  342.42
L2          4.60    2.95    3.27          19.85   26.78   -6.41          27.54  346.54
L3          5.48    3.02    3.57          20.13   36.48   -7.92          37.33  347.75
L4          6.00    3.26    4.00          21.05   38.42   -9.03          39.47  346.77
L5         13.53   11.55   10.82          40.50   16.28   -4.19          16.81  345.57
L6         15.94   11.38   11.64          40.21   32.09   -7.19          32.89  347.37
L7         18.83   11.31   12.63          40.09   48.28  -10.27          49.36  347.99
L8         22.44   11.17   13.86          39.87   66.72  -14.01          68.18  348.14
L9         43.52   42.36   36.36          71.12    8.03   -1.99           8.27  346.08
L10        45.94   42.25   38.06          71.04   15.34   -4.45          15.97  343.82
L11        48.46   42.28   38.52          71.07   22.24   -5.03          22.80  347.26
L12        51.55   41.93   39.78          70.82   31.57   -7.12          32.36  347.29
L13        12.66   20.52   42.70          52.42  -40.77  -42.61          58.97  226.26
L14        22.79   10.19   25.41          38.19   75.57  -41.63          86.28  331.15
L15        50.49   45.67    1.92          73.33   17.94   96.94          98.59   79.52
L16         0.50    0.52    0.43           4.67    0.08   -0.08           0.11  315.00
L17        15.12    7.43    0.48          32.78   59.37   47.39          75.96   38.60
L18         4.23    9.65    1.40          37.20  -52.99   40.37          66.62  142.70
L19         3.82    1.52   18.30          12.76   46.45  -71.48          85.25  303.02
L20         0.61    0.67    0.70           6.01   -1.43   -2.79           3.14  242.86
L21         0.86    0.80    0.92           7.24    3.71   -4.66           5.96  308.52
L22         1.99    1.54    1.40          12.85   12.91   -1.64          13.01  352.76
GS0        79.19   82.04   69.69          92.59    0.17   -1.81           1.82  275.37
GS1        70.01   72.53   60.07          88.22    0.16   -0.22           0.27  306.03
GS2        62.40   64.73   54.51          84.34   -0.04   -1.18           1.18  268.06
GS3        55.58   57.68   48.32          80.56   -0.10   -0.84           0.85  263.21
GS4        48.33   49.91   42.69          76.01    0.58   -1.91           2.00  286.89
GS5        41.89   43.45   36.80          71.86   -0.01   -1.32           1.32  269.57
GS6        36.08   37.65   32.12          67.77   -0.76   -1.61           1.78  244.73
GS7        31.24   32.52   27.73          63.77   -0.41   -1.51           1.56  254.81
GS8        26.42   27.56   23.76          59.49   -0.62   -1.91           2.01  252.02
GS9        22.42   23.39   20.24          55.47   -0.62   -1.98           2.07  252.61
GS10       18.82   19.62   16.85          51.41   -0.49   -1.56           1.64  252.56
GS11       15.74   16.37   14.15          47.46   -0.28   -1.70           1.72  260.65
GS12       12.93   13.36   11.55          43.31    0.30   -1.59           1.62  280.68
GS13       10.54   11.02    9.44          39.61   -0.59   -1.20           1.34  243.82
GS14        8.25    8.65    7.50          35.30   -0.82   -1.48           1.69  241.01
GS15        6.43    6.74    5.81          31.21   -0.74   -1.17           1.38  237.69
GS16        4.92    5.16    4.52          27.19   -0.70   -1.49           1.65  244.84
GS17        3.68    3.84    3.33          23.14   -0.42   -1.12           1.20  249.44
GS18        2.62    2.73    2.28          18.94   -0.36   -0.22           0.42  211.43
GS19        1.79    1.89    1.59          14.89   -0.81   -0.38           0.89  205.13
GS20        1.14    1.20    1.00          10.52   -0.47   -0.15           0.49  197.70
GS21        0.87    0.90    0.73           8.16    0.01    0.27           0.27   87.88
GS22        0.63    0.66    0.54           5.98   -0.16    0.09           0.18  150.64
GS23        0.42    0.43    0.40           3.91    0.09   -0.89           0.89  275.77
END_DATA
